username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Notisistema;2009-12-24 23:14;0;0;"Secretaría de Salud reporta tres muertes más por AH1N1 ( http://tinyurl.com/ykqfeka )";;;;"7014716772";https://twitter.com/Notisistema/status/7014716772
andresfernandes;2009-12-24 22:40;0;0;"Ya casi es Navidad y lo que me trajo el niño Jesus fue una buena gripe! Espero que no sea AH1N1 ! Jajajaja!";;;;"7013880647";https://twitter.com/andresfernandes/status/7013880647
noticiarebelde;2009-12-24 21:51;0;0;"Hidalgo: inicia segunda fase de vacuna AH1N1 : La vacuna contra influenza será aplicada a personas con en... http://bit.ly/8OTYrK #Noticias";;;#Noticias;"7012670068";https://twitter.com/noticiarebelde/status/7012670068
telenoticias7;2009-12-24 19:26;0;0;"Experta costarricense pone en duda gravedad de gripe AH1N1 : http://bit.ly/58Ds9D";;;;"7009001052";https://twitter.com/telenoticias7/status/7009001052
Graceblancou;2009-12-24 19:10;0;0;"Oh oh, mi mama quiere que ayude a inyectar al pavo... A Los pavos tambien les da AH1N1 ?";;;;"7008561136";https://twitter.com/Graceblancou/status/7008561136
ejsanchezm;2009-12-24 19:06;0;0;"no es el primer estudio que dice que la gravedad de la gripe ah1n1 es un fraude http://www.teletica.com/noticia-detalle.php?id=30715&idp=1";;;;"7008460710";https://twitter.com/ejsanchezm/status/7008460710
JerryNorstrom;2009-12-24 19:05;0;0;"Estudio en Costa Rica pone en duda gravedad de influenza AH1N1 http://bit.ly/6xdbuE";;;;"7008429677";https://twitter.com/JerryNorstrom/status/7008429677
AndresBarquero;2009-12-24 18:15;0;0;"Vacunandome de la gripe AH1N1 jojo";;;;"7007045751";https://twitter.com/AndresBarquero/status/7007045751
nssoaxaca;2009-12-24 18:06;0;0;"Recibe Chiapas 41 mil vacunas más contra influenza AH1N1 http://nssoaxaca.com/r.php?i=25437&c=6";;;;"7006810778";https://twitter.com/nssoaxaca/status/7006810778
ensiz_news;2009-12-24 17:43;0;0;"Chiapas recibe más vacunas contra AH1N1 : La dotación antiviral se suministrará al personal de salud, mujeres emb... http://bit.ly/4r1p25";;;;"7006153364";https://twitter.com/ensiz_news/status/7006153364
gigiomd;2009-12-24 17:39;0;0;"=*( Me acaban de vacunas vs. AH1N1 y dueleeee! Por cierto, alguien ha tenido un ETAV por esta vacuna?";;;;"7006036044";https://twitter.com/gigiomd/status/7006036044
Agencia_Andina;2009-12-24 17:10;0;0;"Infectados con AH1N1 mueren por graves daños pulmonares, sostienen especialistas http://bit.ly/7fWKUR";;;;"7005198981";https://twitter.com/Agencia_Andina/status/7005198981
