username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hanifipe;2009-11-14 23:57;0;0;"haaatcim hhh influenza .";;;;"5722113121";https://twitter.com/hanifipe/status/5722113121
BenjaminTseng;2009-11-14 23:56;1;0;"Interesting map showing the spread of the 1918 influenza http://ff.im/-btp5L";;;;"5722090925";https://twitter.com/BenjaminTseng/status/5722090925
Nerdnurse;2009-11-14 23:53;0;0;"RT @onlinenursing : fighting this battle with local physicians and peds. Give antivirals please for influenza per WHO. http://bit.ly/3yw8EO";;@onlinenursing;;"5722026197";https://twitter.com/Nerdnurse/status/5722026197
cronaca24;2009-11-14 23:51;0;0;"Influenza a Montagnier Vaccino Ok Specie Per Giovani http://bit.ly/27Wx0c";;;;"5721990284";https://twitter.com/cronaca24/status/5721990284
abeccaria;2009-11-14 23:51;0;0;"L' INFLUENZA SU INTERNET http://ff.im/btoFx";;;;"5721987014";https://twitter.com/abeccaria/status/5721987014
swinefluh1n1;2009-11-14 23:50;0;0;""A TIME'S MEMORY: USA. CDC - Seasonal Influenza (Flu) - Weekly ..." http://tinyurl.com/ylod9pf #swineflu #H1N1";;;#swineflu #H1N1;"5721960182";https://twitter.com/swinefluh1n1/status/5721960182
SwineFluNewsHK;2009-11-14 23:48;0;0;"Deaths after swine flu vaccination investigated http://tinyurl.com/yk4wqj6 #influenza #china #cn";;;#influenza #china #cn;"5721921884";https://twitter.com/SwineFluNewsHK/status/5721921884
deirde79;2009-11-14 23:45;0;0;"Published a new post: INFLUENZA A: MONTAGNIER, VACCINO OK SPECIE PER GIOVANI - WallStreet Italia http://tinyurl.com/ybp4csr";;;;"5721862073";https://twitter.com/deirde79/status/5721862073
leftthisbye;2009-11-14 23:44;0;0;"RT @TheALIENProject Sunspots, Venus Cycles and Influenza http://bit.ly/17BIVY";;@TheALIENProject;;"5721839900";https://twitter.com/leftthisbye/status/5721839900
SwineFluNewsCA;2009-11-14 23:35;0;0;"2nd H1N1 vaccine behind for N B children http://tinyurl.com/ydqj4hs #influenza #newbrunswick";;;#influenza #newbrunswick;"5721637028";https://twitter.com/SwineFluNewsCA/status/5721637028
epispider;2009-11-14 23:32;0;0;"Pandemic Influenza AH1N1 Continues in Iceland (http://is.gd/4V7KU)";;;;"5721560931";https://twitter.com/epispider/status/5721560931
yumeshima;2009-11-14 23:21;0;0;"Re: Buonanotte!: Sabato notte con l' influenza passato a lavorare per un cretino , ma ora buonanotte! http://bit.ly/2BMnVu";;;;"5721330726";https://twitter.com/yumeshima/status/5721330726
Graffititech;2009-11-14 23:19;0;0;"" No swine flu vaccine works as well as vitamin D to protect you from influenza ." Check it http://safari-black.blogspot.com/";;;;"5721273573";https://twitter.com/Graffititech/status/5721273573
cronaca24;2009-11-14 23:18;0;0;"INFLUENZA A FIMP 400 MILA TELEFONATE AI PEDIATRI http://bit.ly/471REr";;;;"5721253224";https://twitter.com/cronaca24/status/5721253224
regioblogs2;2009-11-14 23:13;0;0;"46 muertes por influenza AH1N1 en Nuevo León #twitmty";;;#twitmty;"5721147859";https://twitter.com/regioblogs2/status/5721147859
SwineFluNewsUSA;2009-11-14 23:07;0;0;"Three some-more Iowa H1N1-related deaths reported http://tinyurl.com/yha7czb #influenza #iowa";;;#influenza #iowa;"5721024701";https://twitter.com/SwineFluNewsUSA/status/5721024701
