username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KatharinaSemli;2009-12-13 23:58;0;0;"Sindh Today – Online News » Kashmir reports first swine flu death ...: New Delhi, Dec 13 (IANS) A 21-year-old w.. http://bit.ly/7c2SF1";;;;"6644280710";https://twitter.com/KatharinaSemli/status/6644280710
KateRichardson;2009-12-13 23:58;0;0;"Right arm tetanus. Left arm swine flu . Head hangover.";;;;"6644279039";https://twitter.com/KateRichardson/status/6644279039
NewsSocialMedia;2009-12-13 23:58;0;0;"Swine flu scare fails to alert health authorities - The News International http://bit.ly/8EzlzR";;;;"6644276501";https://twitter.com/NewsSocialMedia/status/6644276501
nukesports;2009-12-13 23:58;0;0;"No swine-flu vaccination required & you’ll still get paid under quarantine doing this online http://bit.ly/8gTrkx";;;;"6644267684";https://twitter.com/nukesports/status/6644267684
swinefluh1n1;2009-12-13 23:58;0;0;""Busy days for airlines in holiday season" http://tinyurl.com/y8d425h #swineflu #H1N1";;;#swineflu #H1N1;"6644264125";https://twitter.com/swinefluh1n1/status/6644264125
SwineFluHeds;2009-12-13 23:56;0;0;"Dayton (OH) Daily News: H1N1 clinics open to general public Monday . More #Swine Flu #news - http://tinyurl.com/lwe3fk";;;#Swine #news;"6644212618";https://twitter.com/SwineFluHeds/status/6644212618
SwineFluNewsUSA;2009-12-13 23:55;0;0;"Army lines up infantry for legal holiday swine flu shots http://tinyurl.com/yalshjz #flu #memphis #tn";;;#flu #memphis #tn;"6644194849";https://twitter.com/SwineFluNewsUSA/status/6644194849
WuttheDEUCE;2009-12-13 23:54;0;0;"My mama just told me to wash my apple off because swine flu goin round! Lol ha";;;;"6644175363";https://twitter.com/WuttheDEUCE/status/6644175363
pandemicflublog;2009-12-13 23:52;0;0;"The CDC Ha... http%3A%2F%2Fwww.pandemicflublog.info%2F2009%2F12%2F13%2Fthe-cdc-has-been-purposely-mixing-h1n1- swine-flu -and-h5n1-bird-flu%2F";;;;"6644125315";https://twitter.com/pandemicflublog/status/6644125315
Matthew519;2009-12-13 23:52;0;0;"The CDC Has Been Purposely Mixing H1N1 Swine Flu And H5N1 Bird Flu http://bit.ly/8rAfTY";;;;"6644113700";https://twitter.com/Matthew519/status/6644113700
staytoxic;2009-12-13 23:51;0;0;"Canada to shift tens of millions of unused taxpayer funded swine flu vaccines to other countries.";;;;"6644101402";https://twitter.com/staytoxic/status/6644101402
BryonyMcCulloch;2009-12-13 23:49;0;0;"Im ill again!! I think my swine flu injection gave me mild swine flu ! sore muscles, throat, head, stomach and got the cold :( this aint gd!";;;;"6644043224";https://twitter.com/BryonyMcCulloch/status/6644043224
Poet_Carl_Watts;2009-12-13 23:49;0;0;"WHO Denies Link Between Swine Flu Vaccine & Illnesses, Death. (Of course! Rumor is they started the swine flu !) http://ping.fm/rxAmj";;;;"6644042876";https://twitter.com/Poet_Carl_Watts/status/6644042876
swinefluh1n1;2009-12-13 23:47;0;0;""H1N1 vaccine available Monday to all Iowans" http://tinyurl.com/ybahs69 #swineflu #H1N1";;;#swineflu #H1N1;"6643997341";https://twitter.com/swinefluh1n1/status/6643997341
staytoxic;2009-12-13 23:46;0;0;"CBC.ca posted a photo of santa being injected with swine flu vaccine in a sick kid-brainwashing propaganda stunt.";;;;"6643959391";https://twitter.com/staytoxic/status/6643959391
CakeByThaPound;2009-12-13 23:45;0;0;"@benNYstacks actually i get sick a lot LOL i ust got over the swine flu and pneumonia ; did u forgettttt ?";;@benNYstacks;;"6643940753";https://twitter.com/CakeByThaPound/status/6643940753
mexflu;2009-12-13 23:45;0;0;"http://tinyurl.com/yczr3lx 3 more succumb to swine flu in UT, Ludhiana (The Times of India) via Yahoo! News";;;;"6643934970";https://twitter.com/mexflu/status/6643934970
SwineFlu_news;2009-12-13 23:45;0;0;"WVU Holds December Graduation http://t.love.com/279960972";;;;"6643931167";https://twitter.com/SwineFlu_news/status/6643931167
BieberOnReplay;2009-12-13 23:44;0;0;":O what if i have swine flu";;;;"6643910845";https://twitter.com/BieberOnReplay/status/6643910845
jasonmigg;2009-12-13 23:43;0;0;"3 more succumb to swine flu in UT, Ludhiana: Three more persons, one in Chandigarh and two in Ludhiana, succumbed t... http://bit.ly/64gkFN";;;;"6643878196";https://twitter.com/jasonmigg/status/6643878196
mumbaitimes;2009-12-13 23:43;0;0;"3 more succumb to swine flu in UT, Ludhiana: Three more persons, one in Chandigarh and two in Ludhiana... http://bit.ly/64gkFN Mumbai Times";;;;"6643878152";https://twitter.com/mumbaitimes/status/6643878152
swinflunews;2009-12-13 23:42;0;0;"[Video]NO SHOT , SICK SINCE H1N1 Swine Flu Vaccination SAY NO - http://tinyurl.com/ybfg29s";;;;"6643866535";https://twitter.com/swinflunews/status/6643866535
Prince_Niccolo;2009-12-13 23:41;1;1;"you took the swine-flu vaccine, had a bad reaction, now you look like the Nazi Swastika when you walk #damnshame";;;#damnshame;"6643818982";https://twitter.com/Prince_Niccolo/status/6643818982
MelissaANunez;2009-12-13 23:41;0;0;"Wtf!!! Now i have the swine flu guru following me on Twitter? Lmfaooooooo this is just reeedonk!!";;;;"6643814312";https://twitter.com/MelissaANunez/status/6643814312
live_h1n1;2009-12-13 23:40;0;0;"24 infected with #swineflu in Sindh - SAMAA TV : http://bit.ly/7yHetA";;;#swineflu;"6643796002";https://twitter.com/live_h1n1/status/6643796002
technopeople;2009-12-13 23:40;0;0;"Fake Swine Flu Emails Lead to Real Malware Infection (PC World) -http://bit.ly/4JUwFZ";;;;"6643788458";https://twitter.com/technopeople/status/6643788458
jenwhyntie;2009-12-13 23:39;0;0;"Nice: a Dettol advert depicting #swineflu "viruses" that appear to be rod-shaped bacilli http://bit.ly/sAxeF *sigh*";;;#swineflu;"6643760888";https://twitter.com/jenwhyntie/status/6643760888
Diggman;2009-12-13 23:38;0;0;"If you get an email about not eating canned ham because of the Swine Flu , ignore it. It's just Spam!";;;;"6643760044";https://twitter.com/Diggman/status/6643760044
SwineFluInformd;2009-12-13 23:38;0;0;"Kashmir reports first swine flu death, India toll 699 http://bit.ly/7Ln7pg";;;;"6643758863";https://twitter.com/SwineFluInformd/status/6643758863
DrDebraHolland;2009-12-13 23:38;1;0;"WHO Denies Link Between Swine Flu Vaccine and Illnesses, Deaths: http://bit.ly/5Iszki. Interesting point about miscarriages.";;;;"6643738554";https://twitter.com/DrDebraHolland/status/6643738554
