username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
swineflualerts;2009-06-25 23:59;0;0;""Funeral For Buffalo Swine Flu Victim" http://tinyurl.com/nvqdzn #swineflu";;;#swineflu;"2335485220";https://twitter.com/swineflualerts/status/2335485220
swineflualerts;2009-06-25 23:59;0;0;""Bangladesh Confirms One More Case Of Swine Flu, Total Eight" http://tinyurl.com/ks7oh6 #swineflu";;;#swineflu;"2335484731";https://twitter.com/swineflualerts/status/2335484731
tragedyman;2009-06-25 23:52;0;0;"Completely overlooked today: RT @CP_Branswell: CDC estimates as many as 1 mil Americans have been infected with novel #H1N1 #swineflu virus.";;@CP_Branswell;#H1N1 #swineflu;"2335349727";https://twitter.com/tragedyman/status/2335349727
Keeganrb;2009-06-25 23:50;0;0;"RT @swineflu _help : U.S. swine flu cases may have hit 1 million (USA Today) http://tinyurl.com/mp8v2e";;@swineflu;;"2335309358";https://twitter.com/Keeganrb/status/2335309358
brewsevelt;2009-06-25 23:48;0;0;"Twitter Poker Tour on Full Tilt | Tonight at 9 PM ET - ID: 91793248 - PW: swineflu - http://bit.ly/tptpoker #tpt";;;#tpt;"2335279338";https://twitter.com/brewsevelt/status/2335279338
SwineFlu_news;2009-06-25 23:45;0;0;"The Tech Tidbit Smorgasbord: An End-Of-Workweek Cure For The Bored http://t.love.com/226499120";;;;"2335209043";https://twitter.com/SwineFlu_news/status/2335209043
craigstanton;2009-06-25 23:44;0;0;"OMG! #MJ died from #swineflu #H1N1";;;#MJ #swineflu #H1N1;"2335201007";https://twitter.com/craigstanton/status/2335201007
swinefluupdated;2009-06-25 23:44;0;0;"Influenza A (H1N1) - worldwide (73): case count, epidemiology #swineflu http://tinyurl.com/nvymcd";;;#swineflu;"2335200787";https://twitter.com/swinefluupdated/status/2335200787
swinefluupdated;2009-06-25 23:44;0;0;"Influenza A (H1N1) - worldwide (74): susp. origin #swineflu http://tinyurl.com/nysqbd";;;#swineflu;"2335199676";https://twitter.com/swinefluupdated/status/2335199676
mathaba2;2009-06-25 23:37;0;0;"R @patrickwill #8: Want to file an injunction with your DA (USA) against forced vaccinations? Go here: http://short.to/gzed #swineflu";;@patrickwill;#8 #swineflu;"2335058290";https://twitter.com/mathaba2/status/2335058290
SwineFlu_news;2009-06-25 23:30;0;0;"Fitch downgrades Delta credit rating to B- http://t.love.com/226486393";;;;"2334925854";https://twitter.com/SwineFlu_news/status/2334925854
bajpairupali;2009-06-25 23:29;0;0;"#Economy : RT @India_Business : Airlines struggle as #SwineFlu adds to woes: Iata. http://tinyurl.com/kvbgss";;@India_Business;#Economy #SwineFlu;"2334907794";https://twitter.com/bajpairupali/status/2334907794
powerwriter;2009-06-25 23:26;0;0;"RT @Swineflu _wires : New post: Doctor warns of flu in fall - Amarillo.com (http://cli.gs/9TZQ5)";;@Swineflu;;"2334855000";https://twitter.com/powerwriter/status/2334855000
speak_steezy;2009-06-25 23:20;0;0;"Sitting in bed sick from the Geo trip watching MJ on the news- dead? Had fun down south though, everyone caught cold, hopefully not swineflu";;;;"2334742201";https://twitter.com/speak_steezy/status/2334742201
fmeyer;2009-06-25 23:18;0;0;"Comencando o tratamento com Oseltamivir http://bit.ly/zc4iu #swineflu";;;#swineflu;"2334701426";https://twitter.com/fmeyer/status/2334701426
SwineFlu_news;2009-06-25 23:15;0;0;"Swine flu 'cannot be contained' http://t.love.com/226491629";;;;"2334645449";https://twitter.com/SwineFlu_news/status/2334645449
danielbss;2009-06-25 23:06;0;0;"Fontes asseguram que Jackson morreu de gripe suina... #MichaelJackson #swineflu";;;#MichaelJackson #swineflu;"2334478150";https://twitter.com/danielbss/status/2334478150
tomf80;2009-06-25 23:05;0;0;"#michaeljackson is in 15% of posts, #iranelection and #swineflu / #h1n1 never got more than 5%. Screwed up priorities.";;;#michaeljackson #iranelection #swineflu #h1n1;"2334455726";https://twitter.com/tomf80/status/2334455726
abc7newsbayarea;2009-06-25 22:59;0;0;"A 53-year-old man is Solano County's first and death from the H1N1 virus. http://tr.im/pMWg #swineflu";;;#swineflu;"2334339009";https://twitter.com/abc7newsbayarea/status/2334339009
Punterjoe;2009-06-25 22:59;0;0;"@Nitrozac I'm sure someone will blame swineflu . It's a mediameme mashup!";;@Nitrozac;;"2334335027";https://twitter.com/Punterjoe/status/2334335027
swineflu_news_;2009-06-25 22:57;0;0;"Swine flu spreads so rapidly it cannot be contained, says Government: Times Online Swine flu is spreading so rap.. http://bit.ly/BfCah";;;;"2334294582";https://twitter.com/swineflu_news_/status/2334294582
swineflu_news_;2009-06-25 22:57;0;0;"Health department confirms swine flu at camp: The health department has confirmed two new cases of swine flu at .. http://bit.ly/19iRGj";;;;"2334293398";https://twitter.com/swineflu_news_/status/2334293398
stevendschwartz;2009-06-25 22:55;0;0;"RIP MJ is the new #swineflu . Tweet away!";;;#swineflu;"2334267017";https://twitter.com/stevendschwartz/status/2334267017
lgoose;2009-06-25 22:54;0;0;"notícia do @guigacorvo p telefone: sem aulas na FEA (não sei sobre a #USP td) até 2 ordem #gripeaviaria #swineflu";;@guigacorvo;#USP #gripeaviaria #swineflu;"2334242434";https://twitter.com/lgoose/status/2334242434
SwineFlu_news;2009-06-25 22:45;0;0;"Seares: Mitigating the virus http://t.love.com/226484063";;;;"2334060812";https://twitter.com/SwineFlu_news/status/2334060812
nigelcameron;2009-06-25 22:38;0;0;"CDC says a million Americans may have #swineflu . http://bit.ly/u9MyB";;;#swineflu;"2333906858";https://twitter.com/nigelcameron/status/2333906858
swineflualerts;2009-06-25 22:35;0;0;""Area Camp Cautious of Swine Flu" http://tinyurl.com/m3u4ml #swineflu";;;#swineflu;"2333860238";https://twitter.com/swineflualerts/status/2333860238
